"category","description"
"Military","Security"
"Military","Enemy"
"Military","Authority"
"Military","Strategy"
"Military","Martial"
"Military","Gear"
"Military","Guard"
"Military","Oppression"
"Military","Barracks"
"Military","Service"
"Power Center","Energy"
"Power Center","Fuel"
"Power Center","Power"
"Power Center","Coil"
"Power Center","Storage"
"Power Center","Battery"
"Power Center","Generator"
"Power Center","Electricity"
"Power Center","Field"
"Power Center","Station"
"Power Center","Grid"
"Power Center","Control"
"Power Center","Development"
"Power Center","Line"
"Power Center","Pipe"
"Power Center","Conductor"
"Power Center","Factory"
"Power Center","Research"
"Power Center","Equipment"
"Prison","Punishment"
"Prison","Crime"
"Prison","Inmate"
"Prison","Panopticon"
"Prison","Ward"
"Prison","Jail"
"Prison","Authority"
"Prison","Guilt"
"Prison","Innocence"
"Prison","Abuse"
"Prison","Justice"
"Prison","Seclusion"
"Prison","Deprivation"
"Prison","Wall"
"Prison","Freedom"
"Prison","Containment"
"Prison","Death"
"Prison","Time"
"Prison","Loneliness"
"Prison","Security"
"Refinery","Plant"
"Refinery","Smelter"
"Refinery","Container"
"Refinery","Factory"
"Refinery","Refiner"
"Refinery","Pipeline"
"Refinery","Machinery"
"Refinery","Hazard"
"Refinery","Crystal"
"Refinery","Reactor"
"Refinery","Crucible"
"Refinery","Mill"
"Refinery","Oleum"
"Refinery","Alloy"
"Refinery","Furnace"
"Refinery","Gas"
"Refinery","Smithing"
"Refinery","Creation"
"Refinery","Destruction"
"Refinery","Refuse"
"Refuge","Safety"
"Refuge","Barricade"
"Refuge","Guardian"
"Refuge","Sanctuary"
"Refuge","Habitat"
"Refuge","Hideout"
"Refuge","Colony"
"Refuge","Threat"
"Refuge","Resource"
"Refuge","Camp"
"Refuge","Settler"
"Refuge","Nest"
"Refuge","Ark"
"Refuge","Accommodation"
"Refuge","Remains"
"Refuge","Ward"
"Refuge","Host"
"Refuge","Solace"
"Refuge","Sustenance"
"Refuge","Shroud"
"Residential","Housing"
"Residential","Building"
"Residential","Shelter"
"Residential","Protection"
"Residential","Zone"
"Residential","Industrial"
"Residential","Facilities"
"Residential","Subsistence"
"Residential","Community"
"Residential","Individual"
"Residential","Institution"
"Residential","Population"
"Residential","Lodging"
"Residential","Storage"
"Residential","Host"
"Residential","Construction"
"Residential","Habitat"
"Residential","Dormitory"
"Residential","Denizen"
"Residential","Dome"
"Spaceport","Ship"
"Spaceport","Anomaly"
"Spaceport","Danger"
"Spaceport","Fuel"
"Spaceport","Supplies"
"Spaceport","Technology"
"Spaceport","Launchpad"
"Spaceport","Maintenance"
"Spaceport","Station"
"Spaceport","Barge"
"Spaceport","Weapon"
"Spaceport","Flight"
"Spaceport","Gravity"
"Spaceport","Pilot"
"Spaceport","Observatory"
"Spaceport","Surface"
"Spaceport","Navigation"
"Spaceport","Satellite"
"Spaceport","Control"
"Spaceport","Astronautics"
"Teaching","Lesson"
"Teaching","Science"
"Teaching","Mystic"
"Teaching","Mind"
"Teaching","Education"
"Teaching","Program"
"Teaching","Knowledge"
"Teaching","Instructor"
"Teaching","Study"
"Teaching","Development"
"Teaching","Tutor"
"Teaching","Inspiration"
"Teaching","Academia"
"Teaching","Progress"
"Teaching","Idea"
"Teaching","Institute"
"Teaching","Data"
"Teaching","Legacy"
"Teaching","Authority"
"Temple","Shrine"
"Temple","Worship"
"Temple","Spirituality"
"Temple","Deity"
"Temple","Prayer"
"Temple","Sacrifice"
"Temple","Ancient"
"Temple","Augur"
"Temple","Belief"
"Temple","Ritual"
"Temple","Cult"
"Temple","Religion"
"Temple","Practice"
"Temple","Sacredness"
"Temple","Offering"
"Temple","Ceremony"
"Temple","Pilgrimage"
"Temple","Stele"
"Temple","Icon"
"Temple","Schism"
"Tomb","Mausoleum"
"Tomb","Burial"
"Tomb","Memorial"
"Tomb","Stele"
"Tomb","Monument"
"Tomb","Guardian"
"Tomb","Decoration"
"Tomb","Stonework"
"Tomb","Necropolis"
"Tomb","Sepulcher"
"Tomb","Grotto"
"Tomb","Shrine"
"Tomb","Altar"
"Tomb","Ruin"
"Tomb","Artifact"
"Tomb","Death"
"Tomb","Rest"
"Tomb","Peace"
"Tomb","Crypt"
"Tomb","Grove"
"Vault","Security"
"Vault","Guardian"
"Vault","Danger"
"Vault","Information"
"Vault","Resource"
"Vault","Chamber"
"Vault","Hideout"
"Vault","Storage"
"Vault","Gate"
"Vault","Wall"
"Vault","Alarm"
"Vault","Container"
"Vault","Access Point"
"Vault","Barrier"
"Vault","Device"
"Vault","Button"
"Vault","Shield"
"Vault","Bastion"
"Vault","Ward"
"Vault","Hold"
"Watchpost","Turret"
"Watchpost","Citadel"
"Watchpost","Observatory"
"Watchpost","Analytics"
"Watchpost","Technology"
"Watchpost","Discovery"
"Watchpost","Surveillance"
"Watchpost","Lookout"
"Watchpost","Danger"
"Watchpost","Alarm"
"Watchpost","Vigilance"
"Watchpost","Information"
"Watchpost","Reconnaissance"
"Watchpost","Mission"
"Watchpost","Personnel"
"Watchpost","Assessment"
"Watchpost","Evaluation"
"Watchpost","Security"
"Watchpost","Control"
